id;name;latitude;longitude
206;Main Street Station;48.870837;2.779032
163;Main Street Vehicles;48.871401;2.779101
53;Big Thunder Mountain;48.871547;2.774678
203;Frontierland Depot;48.870249;2.772226
54;Phantom Manor;48.870472;2.776895
77;Thunder Mesa Riverboat Landing;48.871171;2.776432
56;Indiana Jones et le Temple du Péril;48.872180;2.771797
179;La Cabane des Robinson;48.872334;2.773761
55;Pirates of the Caribbean;48.873611;2.773015
126;Alice's Curious Labyrinth;48.874603;2.774498
81;Blanche-Neige et les 7 Nains;48.873423;2.775259
58;Casey Jr. - Le Petit train du Cirque;48.875398;2.774245
124;Dumbo, The Flying Elephant;48.874053;2.774529
204;Fantasyland Station;48.874607;2.773520
57;It's a Small World;48.874829;2.776036
172;Le Carrousel de Lancelot;48.873721;2.775371
125;Le Pays des Contes de Fées;48.875288;2.774503
82;Les Voyages de Pinocchio;48.873550;2.775149
174;Mad Hatter's Tea Cups;48.874420;2.775152
123;Peter Pan's Flight;48.873688;2.773905
381;Princesses Disney, une invitation royale;48.874844;2.775493
449;Rencontre avec Mickey;48.874451;2.773779
90;Autopia;48.873239;2.778923
99;Buzz Lightyear Laser Blast;48.873521;2.777941
672;Discoveryland Theater;48.874494;2.779853
205;Discoveryland Station;48.874699;2.779351
86;Les Mystères du Nautilus;48.873453;2.779598
167;Orbitron;48.873563;2.778395
684;Star Tours: The Adventures Continue;48.874670;2.778904
690;Star Wars Hyperspace Mountain : Rebel Mission;48.874161;2.779376
64;Art of Disney Animation;48.867267;2.778519
106;Cars Quatre Roues Rallye;48.867675;2.777879
107;Crush's Coaster;48.868218;2.777729
94;Les Tapis Volants - Flying Carpets Over Agrabah;48.868286;2.778378
66;Studio Tram Tour : Behind the Magic;48.866713;2.777855
105;The Twilight Zone Tower of Terror;48.866423;2.778589
68;Armageddon, les Effets Spéciaux;48.865855;2.779083
574;Rendez-vous avec Spider-Man;48.865594;2.779926
67;Rock 'n' Roller Coaster avec Aerosmith;48.865159;2.779684
335;RC Racer - Vitesse maximale!;48.866820;2.776518
334;Slinky Dog Zigzag Spin;48.867074;2.776609
333;Toy Story Mission Parachute;48.867123;2.777489
572;Ratatouille : L'Aventure totalement toquée de Rémy;48.867617;2.776118
